company,year,provider,raw_score,normalized_score,environment_score,social_score,governance_score,confidence,methodology_gap,data_gap,weighting_difference
Schneider Electric,2020,MSCI,AA,82,85,78,83,76,"Controversy and industry risk lens can lift or cap the rating differently than disclosure-led frameworks","Public disclosures were strong but some supply-chain and product-impact indicators were estimated","Climate strategy and governance receive heavier materiality weight than questionnaire completeness"
Schneider Electric,2020,Sustainalytics,17.4 Low Risk,78,82,72,79,72,"Lower raw ESG risk maps inversely to normalized performance and can penalize unmanaged exposure","Incident coverage and exposure estimates can shift risk score even when company disclosure is stable","Material financial risk and management gap are weighted above broad disclosure volume"
Schneider Electric,2020,CDP,A-,86,91,74,76,81,"Climate questionnaire depth is rewarded more directly than cross-ESG governance coverage","Scope 3 and supplier data quality can create uncertainty across categories","Environmental disclosure and climate targets dominate the score"
Schneider Electric,2020,S&P CSA,77,77,80,73,78,74,"CSA rewards detailed questionnaire evidence and industry-specific practices","Missing questionnaire fields can suppress otherwise strong public-reporting performance","Industry materiality weights may emphasize operational eco-efficiency and labor practices"
Schneider Electric,2021,MSCI,AA,84,87,80,84,78,"MSCI-style industry risk controls may reward resilience in electrical equipment exposure","Some controversy and supply-chain inputs are inferred from public or third-party data","Governance and risk-management controls carry more weight than standalone disclosure"
Schneider Electric,2021,Sustainalytics,16.1 Low Risk,80,84,74,80,75,"Risk score improves when unmanaged risk narrows even if absolute disclosures change modestly","Exposure estimates and incident screening remain a source of provider variance","Unmanaged risk reduction is weighted above breadth of reporting"
Schneider Electric,2021,CDP,A,91,95,76,78,84,"CDP climate leadership can exceed broader ESG provider scores","Environmental data is robust while social and governance depth is outside the core climate grade","Climate disclosure and emissions-management weight is dominant"
Schneider Electric,2021,S&P CSA,80,80,83,76,81,77,"CSA questionnaire evidence can produce a smoother year-over-year path","Self-reported survey completeness affects comparability with public-only providers","Environmental and social practices are balanced through sector-specific weights"
Schneider Electric,2022,MSCI,AAA,90,91,83,88,80,"Top-tier rating can reflect relative peer strength as well as absolute controls","Third-party controversy screening can lag company reporting changes","Industry-adjusted risk management receives high weight"
Schneider Electric,2022,Sustainalytics,15.2 Low Risk,82,86,76,82,77,"Low-risk category may still trail disclosure-led scores because residual exposure remains","Estimated exposure to product and supply-chain risks can create a ceiling","Financial materiality and unmanaged-risk weighting dampens climate leadership upside"
Schneider Electric,2022,CDP,A,92,96,77,79,85,"Climate disclosure and target credibility remain primary drivers","Scope 3 boundary assumptions can affect confidence","Climate weighting is intentionally much higher than governance breadth"
Schneider Electric,2022,S&P CSA,82,82,85,78,83,79,"Questionnaire-led CSA score may rise with evidence quality and detailed policy proof","Survey non-response or limited fields can hold down subtopic scores","Industry materiality distributes weight across environmental innovation and workforce topics"
Schneider Electric,2023,MSCI,AAA,91,92,84,89,82,"Relative peer methodology can sustain high rating even when other frameworks identify gaps","Public and estimated data are mixed for some value-chain indicators","Governance controls and industry materiality carry strong influence"
Schneider Electric,2023,Sustainalytics,14.7 Low Risk,83,87,77,83,78,"Residual unmanaged risk can keep the normalized score below disclosure-heavy ratings","Event monitoring and exposure models can shift independently of company submissions","Unmanaged risk and exposure are more important than total disclosure volume"
Schneider Electric,2023,CDP,A,93,97,78,80,86,"Climate leadership methodology creates upside versus full ESG frameworks","Supplier and financed emissions estimates can leave uncertainty","Environmental transparency and transition planning dominate"
Schneider Electric,2023,S&P CSA,84,84,86,80,84,80,"CSA captures detailed management practices that may not be visible in public-only ratings","Questionnaire coverage and verification depth affect confidence","Weights spread across climate, innovation, labor, and governance practices"
Schneider Electric,2024,MSCI,AAA,92,93,85,90,83,"Relative peer leadership remains a core driver","Some indicators rely on third-party controversy and exposure datasets","Governance and risk controls continue to receive heavy materiality treatment"
Schneider Electric,2024,Sustainalytics,13.9 Low Risk,85,89,79,84,80,"Risk methodology still reflects residual exposure despite strong management systems","Incident screening and value-chain exposure are less dependent on company questionnaire detail","Unmanaged risk decline lifts the score while exposure remains a constraint"
Schneider Electric,2024,CDP,A,94,98,79,81,88,"Climate-first scoring outperforms broader ESG scores when disclosure is deep","Scope 3 and supplier assurance are still the main data constraints","Climate disclosure and emissions performance dominate the aggregate"
Schneider Electric,2024,S&P CSA,86,86,88,82,86,82,"Questionnaire evidence and sector materiality support steady improvement","Assurance depth and survey completeness can influence topic-level results","Environmental innovation and workforce management are weighted alongside governance"
Schneider Electric,2025,MSCI,AAA,93,94,86,91,84,"Peer-relative methodology and controversy screening can differ from absolute scorecards","Some supply-chain and product-use indicators remain model-estimated","Governance and sector risk management are weighted heavily"
Schneider Electric,2025,Sustainalytics,13.2 Low Risk,87,90,80,85,81,"Low unmanaged risk translates to a strong but not maximum normalized score","Exposure assumptions and incident monitoring remain important variance sources","Financially material unmanaged risk receives more weight than disclosure breadth"
Schneider Electric,2025,CDP,A,95,99,80,82,89,"Climate questionnaire methodology creates the highest normalized score","Value-chain emissions and supplier data are the main remaining uncertainty points","Environmental disclosure and transition execution carry dominant weight"
Schneider Electric,2025,S&P CSA,88,88,90,83,88,84,"CSA rewards detailed practice evidence across ESG topics","Questionnaire completeness and evidence quality affect comparability","Weights are distributed across sector-specific climate, human capital, and governance topics"
